,0,1,2,3,4,5,6,7,8,9
1001670235840176128,1.740232846714207e-07,0.0014695457182824613,0.00014884072588756682,2.483817070242367e-07,1.1207082025066483e-06,1.7539787222631276e-06,3.4257955121574923e-06,2.5472761535638714e-07,0.00020517217926681043,4.0504278331354726e-07
1001787932540317696,0.0017605268745030248,0.0004997461712127846,0.0030300947658008074,0.00041743457122034257,1.5602504426693055e-06,2.4421132345427273e-06,4.769572180331834e-06,3.54656077522416e-07,0.0006781281275547588,5.639182701493336e-07
1001826991853596672,2.986298750329297e-06,0.0013311113230884076,8.65705715114018e-07,4.2620413296390325e-06,1.9230954058002682e-05,3.0095953843556347e-05,5.8785412693396215e-05,4.371285103843547e-06,0.0005300302524119616,6.950476381462068e-06
1002184209706954753,9.09730533749098e-07,0.0012142702005803587,0.0014173170551657678,2.9085905407555404e-05,5.858550866832957e-06,9.168997348751874e-06,1.7909050802700223e-05,1.3316978765942622e-06,0.0001825181185267866,2.117416079272516e-06
1002941807636779008,2.3401662474498153e-07,0.0003095373511314392,0.0003709337906911969,3.340111561556114e-07,1.5070811969053466e-06,2.3586384486407045e-06,4.606909351423383e-06,3.4254717320436615e-07,0.0023555830121040344,5.446644081530394e-07
1003291253772038144,0.00034589597489684823,0.0011543255299329759,4.075810977610672e-08,2.0066806882823585e-07,9.053938811121044e-07,1.4170605936669745e-06,2.7676747777150013e-06,2.0580257569235983e-07,0.0008335933089256287,3.272319418101688e-07
1003437474130128896,5.365165998227895e-06,3.255432375226519e-07,0.0042916804552078245,7.656748493900523e-06,3.4547693212516604e-05,5.407046410255134e-05,0.00010561012895777823,7.85275478847325e-06,0.000878979079425335,0.009638430923223496
1003721069931483136,0.0029356859624385836,0.0005424345377832651,5.542890448850812e-07,2.728847903199494e-06,1.23147590784356e-05,1.927026314660907e-05,3.763845306821168e-05,0.0026816371828317642,0.0014958913438022138,4.450097185326741e-06
100465577,2.9839793569408357e-07,1.8108498522906303e-08,8.650493441564323e-08,4.2589140321069867e-07,1.9215278371120805e-06,3.007463601534255e-06,5.874241469427944e-06,4.3678442125383303e-07,0.0031031915917992593,6.944682809262304e-07
1004685427,2.0718764517368982e-07,0.0015181981027126313,6.006453645568399e-08,2.9571922368631934e-07,1.3342587408260442e-06,2.088191104121506e-06,4.078687925357371e-06,3.0328646971611306e-07,0.00017132872017100453,4.822056325792801e-07
1004741645001248768,1.6267542832792972e-07,0.001153828576207161,4.7159406335595125e-08,2.321769670743379e-07,1.0475891940586735e-06,1.6395548300351948e-06,3.202403604518622e-06,2.381152398811537e-07,0.0008750502951443196,3.786261004279368e-07
1005003261806604288,4.144937065575505e-07,0.0006071735639125109,0.0025917606428265574,5.915740985074081e-07,0.012064576894044877,4.177548544248566e-06,8.159408753272147e-06,6.067182312108343e-07,0.0006634263787418604,9.647440492699389e-07
1005261587798634496,4.229459591442719e-07,0.0010306626558303834,1.2261523352208314e-07,6.036576905898983e-07,2.7237723770667802e-06,4.262892252882012e-06,8.326190436491744e-06,6.191238753672224e-07,0.0011126674711704255,9.84394682745915e-07
1006020949592846336,4.2517902329564095e-05,0.0015849288552999498,5.934724072176323e-08,2.92192248707579e-07,1.3183794180804398e-06,2.063281863229349e-06,4.029942283523269e-06,2.996492412421503e-07,3.750035830307752e-05,4.764652658195701e-07
1006038096,3.874552021443378e-07,0.0006552529521286488,1.1232336873945315e-07,5.529885129362811e-07,2.495181433914695e-06,3.905143239535392e-06,7.627662125742063e-06,5.671252893080236e-07,0.0018377013504505158,9.017854608828203e-07
1006266788,1.7121502651207266e-07,0.0007666105870157481,0.003540589660406113,2.443574430799345e-07,1.1026212632714306e-06,1.7255491911782884e-06,3.370263948454522e-06,2.5060849111469e-07,0.00017953749047592283,0.00024065517354756596
1006504926942396417,8.964465450844728e-07,4.763489123433829e-05,2.5987087610701564e-07,1.2794001122529153e-06,5.772847725893371e-06,9.034806862473489e-06,1.7647344793658704e-05,1.312116455665091e-06,0.0030106719583272937,2.0863941244897433e-06
1007131977164754945,0.0027346067130565644,0.00018276390619575977,1.134997319240938e-07,5.587952273344854e-07,2.5214065317413772e-06,3.946272045141086e-06,7.70747137721628e-06,0.0005270957946777344,0.0023876164108514787,9.112291991186795e-07
1007170742482620416,1.991896624531364e-07,0.0004971588030457497,5.774232363364718e-08,2.842872390829143e-07,1.2828211765736342e-06,2.0074994608876295e-06,3.921069219359197e-06,2.915527829827625e-07,0.002143193408846855,4.6358359213627413e-07
